Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01610","Coffee, green","2023","2023","t","0.03","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0112","Maize (corn)","2023","2023","t","106","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2023","2023","t","312.29","E","Estimated value",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01234","Tomatoes","2023","2023","t","327344.98","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2023","2023","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","01610","Coffee, green","2023","2023","t","7.88","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","0112","Maize (corn)","2023","2023","t","35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2023","2023","t","14.59","E","Estimated value",""
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","0141","Soya beans","2023","2023","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","01234","Tomatoes","2023","2023","t","44350.16","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","0111","Wheat","2023","2023","t","219.82","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01640","Cocoa beans","2023","2023","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01610","Coffee, green","2023","2023","t","2.92","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","0112","Maize (corn)","2023","2023","t","516.27","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2023","2023","t","28.14","E","Estimated value",""
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","0141","Soya beans","2023","2023","t","10.11","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01234","Tomatoes","2023","2023","t","5.04","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","0111","Wheat","2023","2023","t","24.77","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","01312","Bananas","2023","2023","t","12377.26","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","01610","Coffee, green","2023","2023","t","1024.83","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","0112","Maize (corn)","2023","2023","t","81.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2023","2023","t","6.35","E","Estimated value",""
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","0111","Wheat","2023","2023","t","0.1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export quantity","01312","Bananas","2023","2023","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","0112","Maize (corn)","2023","2023","t","23629982","A","Official figure",""
